River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-01,--:--,3.260
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-02,--:--,2.750
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-03,--:--,2.320
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-04,--:--,2.100
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-05,--:--,2.010
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-06,--:--,1.970
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-07,--:--,2.050
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-08,--:--,2.180
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-09,--:--,2.300
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-10,--:--,2.410
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-11,--:--,2.390
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-12,--:--,2.390
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-13,--:--,2.320
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-14,--:--,2.140
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-15,--:--,2.030
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-16,--:--,2.020
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-17,--:--,2.100
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-18,--:--,2.490
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-19,--:--,2.790
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-20,--:--,2.880
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-21,--:--,2.900
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-22,--:--,2.830
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-23,--:--,2.770
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-24,--:--,2.870
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-25,--:--,3.080
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-26,--:--,3.270
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-27,--:--,3.250
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-28,--:--,2.960
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-29,--:--,2.520
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-30,--:--,2.160
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-01-31,--:--,1.950
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-01,--:--,1.980
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-02,--:--,2.560
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-03,--:--,3.880
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-04,--:--,5.470
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-05,--:--,6.440
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-06,--:--,5.600
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-07,--:--,4.580
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-08,--:--,3.580
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-09,--:--,2.670
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-10,--:--,2.280
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-11,--:--,2.020
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-12,--:--,2.020
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-13,--:--,2.540
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-14,--:--,3.660
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-15,--:--,4.430
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-16,--:--,4.580
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-17,--:--,4.100
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-18,--:--,3.580
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-19,--:--,4.220
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-20,--:--,6.500
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-21,--:--,7.150
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-22,--:--,5.580
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-23,--:--,4.420
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-24,--:--,3.900
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-25,--:--,3.480
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-26,--:--,3.430
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-27,--:--,3.510
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-02-28,--:--,3.390
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-01,--:--,2.900
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-02,--:--,2.390
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-03,--:--,2.070
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-04,--:--,1.950
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-05,--:--,1.910
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-06,--:--,1.870
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-07,--:--,1.850
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-08,--:--,1.880
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-09,--:--,2.100
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-10,--:--,2.610
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-11,--:--,3.390
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-12,--:--,4.090
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-13,--:--,4.050
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-14,--:--,3.920
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-15,--:--,3.700
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-16,--:--,3.200
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-17,--:--,2.600
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-18,--:--,2.130
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-19,--:--,1.840
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-20,--:--,1.720
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-21,--:--,1.690
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-22,--:--,1.760
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-23,--:--,2.030
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-24,--:--,2.040
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-25,--:--,1.860
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-26,--:--,1.740
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-27,--:--,1.810
LOSOSNA,BOCHENIEC,PL,50.8025,20.31166667,294.15,216.11,2023-03-28,--:--,1.930
