River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-01,--:--,17.300
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-02,--:--,16.900
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-03,--:--,16.400
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-04,--:--,15.000
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-05,--:--,14.800
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-06,--:--,16.000
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-07,--:--,17.800
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-08,--:--,19.600
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-09,--:--,20.300
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-10,--:--,20.800
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-11,--:--,21.100
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-12,--:--,20.700
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-13,--:--,20.700
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-14,--:--,20.500
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-15,--:--,20.400
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-16,--:--,21.100
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-17,--:--,21.400
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-18,--:--,21.800
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-19,--:--,22.000
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-20,--:--,22.300
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-21,--:--,22.500
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-22,--:--,22.800
WKRA,BORKOWO,PL,52.56168,20.6656,5126.96,-999.00,2023-01-23,--:--,23.800
