River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-01,--:--,20.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-02,--:--,18.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-03,--:--,17.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-04,--:--,17.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-05,--:--,16.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-06,--:--,16.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-07,--:--,16.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-08,--:--,17.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-09,--:--,17.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-10,--:--,17.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-11,--:--,18.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-12,--:--,18.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-13,--:--,18.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-14,--:--,17.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-15,--:--,16.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-16,--:--,16.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-17,--:--,17.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-18,--:--,18.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-19,--:--,19.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-20,--:--,21.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-21,--:--,21.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-22,--:--,20.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-23,--:--,20.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-24,--:--,20.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-25,--:--,21.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-26,--:--,22.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-27,--:--,21.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-28,--:--,19.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-29,--:--,18.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-30,--:--,16.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-01-31,--:--,16.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-01,--:--,16.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-02,--:--,18.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-03,--:--,23.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-04,--:--,27.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-05,--:--,29.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-06,--:--,28.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-07,--:--,24.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-08,--:--,21.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-09,--:--,19.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-10,--:--,17.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-11,--:--,16.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-12,--:--,17.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-13,--:--,19.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-14,--:--,22.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-15,--:--,25.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-16,--:--,26.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-17,--:--,25.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-18,--:--,24.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-19,--:--,29.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-20,--:--,37.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-21,--:--,43.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-22,--:--,39.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-23,--:--,33.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-24,--:--,30.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-25,--:--,29.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-26,--:--,30.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-27,--:--,33.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-02-28,--:--,31.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-01,--:--,26.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-02,--:--,22.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-03,--:--,20.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-04,--:--,19.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-05,--:--,19.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-06,--:--,18.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-07,--:--,18.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-08,--:--,18.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-09,--:--,19.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-10,--:--,22.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-11,--:--,26.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-12,--:--,28.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-13,--:--,29.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-14,--:--,28.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-15,--:--,27.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-16,--:--,25.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-17,--:--,22.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-18,--:--,19.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-19,--:--,18.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-20,--:--,18.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-21,--:--,17.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-22,--:--,18.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-23,--:--,18.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-24,--:--,17.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-25,--:--,17.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-26,--:--,16.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-27,--:--,16.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-28,--:--,17.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-29,--:--,17.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-30,--:--,16.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-03-31,--:--,15.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-01,--:--,15.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-02,--:--,16.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-03,--:--,19.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-04,--:--,22.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-05,--:--,23.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-06,--:--,21.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-07,--:--,21.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-08,--:--,25.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-09,--:--,30.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-10,--:--,30.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-11,--:--,27.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-12,--:--,28.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-13,--:--,35.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-14,--:--,39.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-15,--:--,32.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-16,--:--,26.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-17,--:--,23.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-18,--:--,22.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-19,--:--,21.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-20,--:--,21.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-21,--:--,20.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-22,--:--,19.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-23,--:--,17.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-24,--:--,16.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-25,--:--,16.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-26,--:--,16.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-27,--:--,16.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-28,--:--,15.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-29,--:--,14.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-04-30,--:--,14.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-01,--:--,13.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-02,--:--,13.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-03,--:--,12.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-04,--:--,12.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-05,--:--,11.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-06,--:--,11.700
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-07,--:--,12.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-08,--:--,12.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-09,--:--,11.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-10,--:--,11.500
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-11,--:--,11.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-12,--:--,10.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-13,--:--,9.990
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-14,--:--,9.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-15,--:--,10.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-16,--:--,12.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-17,--:--,17.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-18,--:--,29.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-19,--:--,37.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-20,--:--,40.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-21,--:--,32.400
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-22,--:--,25.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-23,--:--,19.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-24,--:--,16.100
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-25,--:--,14.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-26,--:--,13.300
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-27,--:--,12.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-28,--:--,11.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-29,--:--,11.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-30,--:--,10.600
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-05-31,--:--,9.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-01,--:--,9.280
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-02,--:--,9.090
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-03,--:--,8.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-04,--:--,8.590
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-05,--:--,8.420
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-06,--:--,8.120
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-07,--:--,8.250
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-08,--:--,7.940
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-09,--:--,7.790
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-10,--:--,8.230
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-11,--:--,8.260
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-12,--:--,7.740
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-13,--:--,7.390
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-14,--:--,7.450
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-15,--:--,8.870
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-16,--:--,8.480
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-17,--:--,8.170
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-18,--:--,7.730
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-19,--:--,7.510
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-20,--:--,7.200
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-21,--:--,7.020
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-22,--:--,7.390
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-23,--:--,8.270
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-24,--:--,9.530
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-25,--:--,9.210
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-26,--:--,8.560
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-27,--:--,7.960
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-28,--:--,7.610
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-29,--:--,7.330
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-06-30,--:--,7.000
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-01,--:--,6.970
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-02,--:--,7.260
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-03,--:--,7.190
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-04,--:--,6.770
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-05,--:--,6.430
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-06,--:--,6.950
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-07,--:--,6.670
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-08,--:--,6.260
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-09,--:--,6.070
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-10,--:--,5.800
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-11,--:--,5.640
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-12,--:--,5.540
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-13,--:--,5.650
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-14,--:--,6.550
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-15,--:--,5.990
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-16,--:--,5.720
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-17,--:--,5.740
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-18,--:--,5.900
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-19,--:--,5.580
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-20,--:--,5.470
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-21,--:--,5.560
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-22,--:--,5.480
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-23,--:--,5.430
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-24,--:--,5.230
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-25,--:--,5.390
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-26,--:--,5.840
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-27,--:--,7.630
NIDA,BRZEGI,PL,50.74194444,20.41388889,2263.77,205.15,2023-07-28,--:--,7.760
