River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-01,--:--,7.559
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-02,--:--,9.021
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-03,--:--,10.600
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-04,--:--,11.080
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-05,--:--,11.800
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-06,--:--,18.080
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-07,--:--,14.980
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-08,--:--,13.460
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-09,--:--,12.400
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-10,--:--,20.050
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-11,--:--,21.080
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-12,--:--,16.600
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-13,--:--,14.440
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-14,--:--,12.990
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-15,--:--,12.190
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-16,--:--,11.920
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-17,--:--,12.160
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-18,--:--,14.640
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-19,--:--,17.290
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-20,--:--,14.840
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-21,--:--,13.020
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-22,--:--,12.160
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-23,--:--,10.570
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-24,--:--,10.930
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-25,--:--,10.270
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-26,--:--,9.820
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-27,--:--,9.106
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-28,--:--,8.829
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-29,--:--,8.633
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-30,--:--,8.706
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-01-31,--:--,8.851
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-02-01,--:--,8.349
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-02-02,--:--,8.243
POPRAD,CHMELNICA,SK,49.28918,20.73023,1262.0,507.0,2023-02-03,--:--,7.846
