River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-01,--:--,5.420
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-02,--:--,5.440
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-03,--:--,4.000
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-04,--:--,2.810
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-05,--:--,4.460
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-06,--:--,5.340
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-07,--:--,3.770
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-08,--:--,2.760
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-09,--:--,2.580
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-10,--:--,4.840
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-11,--:--,4.650
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-12,--:--,3.460
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-13,--:--,2.630
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-14,--:--,2.550
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-15,--:--,2.150
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-16,--:--,2.140
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-17,--:--,4.970
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-18,--:--,18.500
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-19,--:--,13.500
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-20,--:--,8.540
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-21,--:--,4.750
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-22,--:--,3.260
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-23,--:--,2.620
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-24,--:--,2.170
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-25,--:--,1.860
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-26,--:--,1.650
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-27,--:--,1.450
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-28,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-29,--:--,1.230
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-30,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-01-31,--:--,1.310
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-01,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-02,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-03,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-04,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-05,--:--,1.310
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-06,--:--,1.290
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-07,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-08,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-09,--:--,1.380
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-10,--:--,1.330
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-11,--:--,1.280
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-12,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-13,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-14,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-15,--:--,1.270
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-16,--:--,1.200
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-17,--:--,1.190
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-18,--:--,2.230
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-19,--:--,8.170
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-20,--:--,5.920
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-21,--:--,5.070
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-22,--:--,5.660
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-23,--:--,3.950
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-24,--:--,3.700
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-25,--:--,8.270
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-26,--:--,5.640
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-27,--:--,3.470
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-02-28,--:--,2.440
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-01,--:--,1.940
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-02,--:--,1.780
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-03,--:--,1.630
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-04,--:--,1.500
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-05,--:--,1.460
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-06,--:--,1.350
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-07,--:--,1.240
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-08,--:--,1.210
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-09,--:--,3.490
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-10,--:--,5.680
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-11,--:--,19.600
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-12,--:--,7.230
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-13,--:--,4.200
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-14,--:--,3.270
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-15,--:--,6.130
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-16,--:--,4.690
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-17,--:--,3.320
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-18,--:--,2.630
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-19,--:--,2.490
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-20,--:--,3.000
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-21,--:--,4.070
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-22,--:--,4.910
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-23,--:--,5.620
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-24,--:--,7.080
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-25,--:--,12.000
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-26,--:--,9.680
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-27,--:--,7.910
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-28,--:--,6.760
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-29,--:--,4.260
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-30,--:--,3.180
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-03-31,--:--,3.550
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-01,--:--,8.680
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-02,--:--,7.140
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-03,--:--,4.970
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-04,--:--,3.320
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-05,--:--,2.370
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-06,--:--,1.880
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-07,--:--,1.610
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-08,--:--,1.490
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-09,--:--,1.440
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-10,--:--,1.950
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-11,--:--,2.780
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-12,--:--,2.800
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-13,--:--,2.370
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-14,--:--,2.370
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-15,--:--,2.990
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-16,--:--,2.650
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-17,--:--,2.400
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-18,--:--,2.070
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-19,--:--,1.790
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-20,--:--,1.560
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-21,--:--,1.390
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-22,--:--,1.240
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-23,--:--,1.110
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-24,--:--,1.030
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-25,--:--,2.960
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-26,--:--,3.930
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-27,--:--,2.460
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-28,--:--,1.780
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-29,--:--,1.470
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-04-30,--:--,1.300
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-01,--:--,1.110
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-02,--:--,1.000
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-03,--:--,0.910
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-04,--:--,0.860
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-05,--:--,0.790
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-06,--:--,0.750
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-07,--:--,0.720
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-08,--:--,0.680
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-09,--:--,0.640
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-10,--:--,0.620
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-11,--:--,0.580
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-12,--:--,0.550
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-13,--:--,0.510
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-14,--:--,0.500
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-15,--:--,0.770
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-16,--:--,1.070
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-17,--:--,0.850
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-18,--:--,2.710
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-19,--:--,2.110
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-20,--:--,1.630
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-21,--:--,1.310
SOLINKA,CISNA,PL,49.21305556,22.33333333,72.49,543.685,2023-05-22,--:--,1.090
