River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-01,--:--,0.870
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-02,--:--,0.810
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-03,--:--,0.760
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-04,--:--,0.720
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-05,--:--,0.800
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-06,--:--,0.960
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-07,--:--,1.030
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-08,--:--,0.970
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-09,--:--,0.870
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-10,--:--,1.140
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-11,--:--,1.810
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-12,--:--,1.160
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-13,--:--,1.020
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-14,--:--,1.010
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-15,--:--,0.990
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-16,--:--,1.570
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-17,--:--,1.370
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-18,--:--,1.540
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-19,--:--,2.700
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-20,--:--,2.210
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-21,--:--,1.680
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-22,--:--,1.440
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-23,--:--,1.510
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-24,--:--,2.660
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-25,--:--,3.160
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-26,--:--,1.940
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-27,--:--,1.380
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-28,--:--,1.130
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-29,--:--,1.000
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-30,--:--,0.960
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-01-31,--:--,0.970
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-02-01,--:--,1.140
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-02-02,--:--,2.090
CZARNA NIDA,DALESZYCE,PL,50.80083333,20.81305556,154.34,250.444,2023-02-03,--:--,2.390
