River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-01,--:--,13.000
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-02,--:--,12.800
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-03,--:--,12.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-04,--:--,12.400
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-05,--:--,12.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-06,--:--,13.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-07,--:--,13.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-08,--:--,12.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-09,--:--,12.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-10,--:--,13.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-11,--:--,13.300
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-12,--:--,13.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-13,--:--,12.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-14,--:--,13.000
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-15,--:--,13.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-16,--:--,13.400
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-17,--:--,13.700
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-18,--:--,13.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-19,--:--,14.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-20,--:--,14.400
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-21,--:--,14.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-22,--:--,14.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-23,--:--,14.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-24,--:--,14.000
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-25,--:--,13.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-26,--:--,13.500
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-27,--:--,13.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-28,--:--,13.000
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-29,--:--,12.800
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-30,--:--,12.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-01-31,--:--,12.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-01,--:--,13.300
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-02,--:--,14.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-03,--:--,14.500
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-04,--:--,14.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-05,--:--,13.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-06,--:--,12.800
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-07,--:--,12.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-08,--:--,12.300
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-09,--:--,12.000
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-10,--:--,11.800
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-11,--:--,11.700
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-12,--:--,11.700
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-13,--:--,11.800
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-14,--:--,11.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-15,--:--,11.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-16,--:--,11.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-17,--:--,12.000
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-18,--:--,13.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-19,--:--,14.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-20,--:--,13.800
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-21,--:--,14.500
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-22,--:--,15.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-23,--:--,15.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-24,--:--,15.400
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-25,--:--,15.600
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-26,--:--,16.100
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-27,--:--,15.900
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-02-28,--:--,15.200
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-03-01,--:--,14.700
PISA,DOBRYLAS,PL,53.28588,21.86477,4086.58,-999.00,2023-03-02,--:--,14.400
