River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-01,--:--,22.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-02,--:--,22.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-03,--:--,22.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-04,--:--,21.500
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-05,--:--,21.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-06,--:--,22.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-07,--:--,22.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-08,--:--,22.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-09,--:--,23.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-10,--:--,23.300
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-11,--:--,23.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-12,--:--,23.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-13,--:--,23.500
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-14,--:--,23.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-15,--:--,23.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-16,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-17,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-18,--:--,23.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-19,--:--,23.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-20,--:--,23.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-21,--:--,23.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-22,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-23,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-24,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-25,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-26,--:--,23.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-27,--:--,23.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-28,--:--,23.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-29,--:--,23.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-30,--:--,23.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-01-31,--:--,23.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-01,--:--,23.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-02,--:--,24.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-03,--:--,24.500
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-04,--:--,25.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-05,--:--,25.300
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-06,--:--,25.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-07,--:--,25.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-08,--:--,25.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-09,--:--,26.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-10,--:--,26.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-11,--:--,26.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-12,--:--,27.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-13,--:--,27.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-14,--:--,28.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-15,--:--,28.300
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-16,--:--,28.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-17,--:--,28.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-18,--:--,29.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-19,--:--,30.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-20,--:--,30.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-21,--:--,30.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-22,--:--,31.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-23,--:--,31.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-24,--:--,32.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-25,--:--,32.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-26,--:--,33.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-27,--:--,33.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-02-28,--:--,33.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-01,--:--,33.300
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-02,--:--,33.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-03,--:--,33.300
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-04,--:--,33.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-05,--:--,32.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-06,--:--,32.400
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-07,--:--,32.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-08,--:--,32.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-09,--:--,31.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-10,--:--,32.000
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-11,--:--,32.600
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-12,--:--,32.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-13,--:--,32.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-14,--:--,33.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-15,--:--,33.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-16,--:--,33.300
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-17,--:--,33.200
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-18,--:--,33.100
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-19,--:--,32.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-20,--:--,32.900
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-21,--:--,32.800
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-22,--:--,32.700
DRWECA,ELGISZEWO,PL,53.06088,18.92824,4973.03,-999.00,2023-03-23,--:--,32.800
