River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-01,--:--,207.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-02,--:--,216.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-03,--:--,221.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-04,--:--,226.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-05,--:--,231.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-06,--:--,236.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-07,--:--,238.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-08,--:--,238.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-09,--:--,240.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-10,--:--,242.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-11,--:--,245.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-12,--:--,246.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-13,--:--,246.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-14,--:--,248.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-15,--:--,249.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-16,--:--,253.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-17,--:--,258.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-18,--:--,265.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-19,--:--,276.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-20,--:--,283.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-21,--:--,293.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-22,--:--,305.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-23,--:--,317.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-24,--:--,325.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-25,--:--,330.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-26,--:--,337.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-27,--:--,344.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-28,--:--,351.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-29,--:--,355.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-30,--:--,360.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-01-31,--:--,362.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-01,--:--,362.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-02,--:--,360.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-03,--:--,355.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-04,--:--,348.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-05,--:--,340.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-06,--:--,332.000
BUG,FRANKOPOL,PL,52.41498,22.56087,30647.55,-999.00,2023-02-07,--:--,325.000
