River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-01,--:--,117.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-02,--:--,114.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-03,--:--,116.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-04,--:--,108.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-05,--:--,108.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-06,--:--,121.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-07,--:--,136.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-08,--:--,114.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-09,--:--,120.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-10,--:--,108.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-11,--:--,308.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-12,--:--,259.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-13,--:--,185.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-14,--:--,160.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-15,--:--,140.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-16,--:--,147.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-17,--:--,169.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-18,--:--,154.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-19,--:--,174.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-20,--:--,174.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-21,--:--,147.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-22,--:--,140.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-23,--:--,158.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-24,--:--,158.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-25,--:--,164.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-26,--:--,188.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-27,--:--,158.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-28,--:--,136.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-29,--:--,136.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-30,--:--,121.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-01-31,--:--,120.000
VISTULA,JAGODNIKI,PL,50.20049,20.68196,12038.87,-999.00,2023-02-01,--:--,122.000
