River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-01,--:--,14.200
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-02,--:--,13.500
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-03,--:--,12.800
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-04,--:--,12.600
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-05,--:--,16.200
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-06,--:--,16.200
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-07,--:--,15.300
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-08,--:--,14.300
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-09,--:--,14.000
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-10,--:--,19.000
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-11,--:--,17.700
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-12,--:--,18.100
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-13,--:--,15.600
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-14,--:--,16.400
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-15,--:--,16.400
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-16,--:--,16.800
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-17,--:--,15.400
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-18,--:--,16.200
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-19,--:--,15.700
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-20,--:--,15.300
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-21,--:--,16.000
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-22,--:--,15.500
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-23,--:--,16.000
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-24,--:--,16.000
PRZEMSZA,JELEN,PL,50.1611,19.23964,2003.64,-999.00,2023-01-25,--:--,15.800
