River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-01,--:--,1.110
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-02,--:--,0.990
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-03,--:--,0.860
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-04,--:--,0.760
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-05,--:--,1.030
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-06,--:--,1.640
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-07,--:--,2.450
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-08,--:--,1.940
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-09,--:--,1.510
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-10,--:--,5.420
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-11,--:--,5.690
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-12,--:--,3.240
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-13,--:--,2.340
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-14,--:--,1.880
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-15,--:--,1.590
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-16,--:--,1.790
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-17,--:--,1.570
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-18,--:--,1.500
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-19,--:--,1.610
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-20,--:--,1.380
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-21,--:--,1.320
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-22,--:--,1.230
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-23,--:--,1.200
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-24,--:--,1.290
SKAWA,JORDANOW,PL,49.63638889,19.83,96.84,442.89,2023-01-25,--:--,1.400
