River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-01,--:--,199.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-02,--:--,180.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-03,--:--,183.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-04,--:--,174.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-05,--:--,145.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-06,--:--,184.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-07,--:--,231.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-08,--:--,224.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-09,--:--,217.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-10,--:--,221.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-11,--:--,456.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-12,--:--,413.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-13,--:--,347.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-14,--:--,316.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-15,--:--,272.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-16,--:--,301.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-17,--:--,303.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-18,--:--,304.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-19,--:--,344.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-20,--:--,317.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-21,--:--,313.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-22,--:--,260.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-23,--:--,260.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-24,--:--,261.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-25,--:--,280.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-26,--:--,286.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-27,--:--,238.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-28,--:--,224.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-29,--:--,194.000
VISTULA,KARSY,PL,50.27497,20.77481,19807.82,-999.00,2023-01-30,--:--,181.000
