River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-01,--:--,-999.000
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-02,--:--,-999.000
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-03,--:--,-999.000
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-04,--:--,-999.000
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-05,--:--,3.920
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-06,--:--,3.480
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-07,--:--,3.490
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-08,--:--,5.160
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-09,--:--,7.670
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-10,--:--,7.660
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-11,--:--,5.460
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-12,--:--,3.700
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-13,--:--,3.810
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-14,--:--,3.540
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-15,--:--,3.530
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-16,--:--,4.220
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-17,--:--,5.590
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-18,--:--,5.830
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-19,--:--,5.010
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-20,--:--,4.530
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-21,--:--,7.610
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-22,--:--,10.300
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-23,--:--,10.600
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-24,--:--,10.900
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-25,--:--,11.000
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-26,--:--,10.800
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-27,--:--,8.820
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-28,--:--,9.140
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-29,--:--,9.870
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-30,--:--,8.170
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-01-31,--:--,6.420
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-01,--:--,5.790
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-02,--:--,6.040
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-03,--:--,9.020
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-04,--:--,11.700
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-05,--:--,13.500
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-06,--:--,13.000
KAMIENNA,KUNOW,PL,50.96194444,21.27888889,1110.42,176.035,2023-02-07,--:--,10.600
