River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-01,--:--,117.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-02,--:--,109.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-03,--:--,106.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-04,--:--,102.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-05,--:--,97.900
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-06,--:--,95.100
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-07,--:--,109.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-08,--:--,116.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-09,--:--,113.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-10,--:--,108.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-11,--:--,114.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-12,--:--,118.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-13,--:--,106.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-14,--:--,94.700
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-15,--:--,89.400
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-16,--:--,88.500
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-17,--:--,97.100
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-18,--:--,106.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-19,--:--,154.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-20,--:--,221.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-21,--:--,277.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-22,--:--,300.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-23,--:--,279.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-24,--:--,216.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-25,--:--,195.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-26,--:--,183.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-27,--:--,168.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-28,--:--,153.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-29,--:--,139.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-30,--:--,129.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-01-31,--:--,120.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-01,--:--,116.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-02,--:--,117.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-03,--:--,126.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-04,--:--,134.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-05,--:--,134.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-06,--:--,125.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-07,--:--,114.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-08,--:--,108.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-09,--:--,101.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-10,--:--,80.100
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-11,--:--,81.700
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-12,--:--,81.700
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-13,--:--,79.100
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-14,--:--,80.200
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-15,--:--,90.500
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-16,--:--,100.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-17,--:--,104.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-18,--:--,115.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-19,--:--,242.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-20,--:--,432.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-21,--:--,351.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-22,--:--,280.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-23,--:--,278.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-24,--:--,218.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-25,--:--,206.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-26,--:--,241.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-27,--:--,241.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-02-28,--:--,201.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-03-01,--:--,172.000
SAN,LEZACHOW,PL,50.14037,22.60311,8344.24,-999.00,2023-03-02,--:--,156.000
