River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-01,--:--,16.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-02,--:--,16.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-03,--:--,15.600
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-04,--:--,14.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-05,--:--,12.900
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-06,--:--,12.000
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-07,--:--,12.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-08,--:--,12.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-09,--:--,12.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-10,--:--,13.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-11,--:--,13.600
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-12,--:--,14.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-13,--:--,14.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-14,--:--,14.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-15,--:--,13.900
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-16,--:--,14.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-17,--:--,14.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-18,--:--,14.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-19,--:--,15.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-20,--:--,16.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-21,--:--,17.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-22,--:--,19.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-23,--:--,22.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-24,--:--,24.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-25,--:--,26.000
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-26,--:--,26.700
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-27,--:--,26.700
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-28,--:--,26.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-29,--:--,27.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-30,--:--,23.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-01-31,--:--,21.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-01,--:--,20.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-02,--:--,18.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-03,--:--,17.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-04,--:--,16.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-05,--:--,16.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-06,--:--,15.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-07,--:--,15.000
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-08,--:--,14.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-09,--:--,13.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-10,--:--,12.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-11,--:--,11.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-12,--:--,11.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-13,--:--,10.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-14,--:--,10.700
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-15,--:--,10.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-16,--:--,10.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-17,--:--,10.900
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-18,--:--,11.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-19,--:--,13.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-20,--:--,14.100
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-21,--:--,14.600
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-22,--:--,15.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-23,--:--,16.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-24,--:--,16.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-25,--:--,16.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-26,--:--,18.600
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-27,--:--,18.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-02-28,--:--,18.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-01,--:--,17.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-02,--:--,17.900
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-03,--:--,17.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-04,--:--,16.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-05,--:--,14.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-06,--:--,12.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-07,--:--,12.400
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-08,--:--,11.900
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-09,--:--,11.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-10,--:--,11.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-11,--:--,11.300
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-12,--:--,11.600
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-13,--:--,11.800
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-14,--:--,12.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-15,--:--,13.500
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-16,--:--,14.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-17,--:--,14.200
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-18,--:--,13.900
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-19,--:--,13.000
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-20,--:--,12.000
LIWIEC,LOCHOW,PL,52.51,21.67833333,2471.45,94.91,2023-03-21,--:--,11.500
