River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-01,--:--,27.200
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-02,--:--,24.700
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-03,--:--,21.000
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-04,--:--,20.500
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-05,--:--,17.900
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-06,--:--,17.900
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-07,--:--,18.400
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-08,--:--,20.000
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-09,--:--,20.500
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-10,--:--,20.700
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-11,--:--,20.500
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-12,--:--,19.700
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-13,--:--,18.900
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-14,--:--,18.900
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-15,--:--,18.900
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-16,--:--,18.400
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-17,--:--,17.900
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-18,--:--,17.600
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-19,--:--,17.400
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-20,--:--,17.100
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-21,--:--,17.100
BZURA,LOWICZ,PL,52.10972222,19.9625,3435.62,79.102,2023-01-22,--:--,16.800
