River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-01,--:--,39.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-02,--:--,38.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-03,--:--,38.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-04,--:--,38.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-05,--:--,38.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-06,--:--,38.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-07,--:--,38.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-08,--:--,37.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-09,--:--,37.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-10,--:--,36.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-11,--:--,37.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-12,--:--,37.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-13,--:--,37.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-14,--:--,37.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-15,--:--,37.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-16,--:--,38.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-17,--:--,39.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-18,--:--,41.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-19,--:--,45.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-20,--:--,46.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-21,--:--,46.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-22,--:--,47.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-23,--:--,48.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-24,--:--,49.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-25,--:--,49.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-26,--:--,49.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-27,--:--,49.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-28,--:--,48.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-29,--:--,47.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-30,--:--,46.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-01-31,--:--,45.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-01,--:--,45.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-02,--:--,45.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-03,--:--,45.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-04,--:--,45.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-05,--:--,44.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-06,--:--,43.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-07,--:--,43.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-08,--:--,42.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-09,--:--,41.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-10,--:--,40.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-11,--:--,40.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-12,--:--,39.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-13,--:--,39.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-14,--:--,39.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-15,--:--,39.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-16,--:--,39.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-17,--:--,38.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-18,--:--,38.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-19,--:--,39.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-20,--:--,38.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-21,--:--,38.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-22,--:--,38.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-23,--:--,38.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-24,--:--,37.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-25,--:--,38.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-26,--:--,40.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-27,--:--,39.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-02-28,--:--,39.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-01,--:--,38.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-02,--:--,37.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-03,--:--,37.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-04,--:--,37.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-05,--:--,36.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-06,--:--,36.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-07,--:--,35.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-08,--:--,35.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-09,--:--,35.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-10,--:--,36.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-11,--:--,38.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-12,--:--,39.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-13,--:--,40.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-14,--:--,40.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-15,--:--,41.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-16,--:--,40.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-17,--:--,40.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-18,--:--,40.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-19,--:--,39.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-20,--:--,39.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-21,--:--,38.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-22,--:--,37.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-23,--:--,36.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-24,--:--,35.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-25,--:--,34.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-26,--:--,35.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-27,--:--,35.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-28,--:--,35.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-29,--:--,35.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-30,--:--,35.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-03-31,--:--,36.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-01,--:--,37.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-02,--:--,37.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-03,--:--,38.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-04,--:--,39.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-05,--:--,39.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-06,--:--,38.300
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-07,--:--,38.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-08,--:--,37.900
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-09,--:--,37.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-10,--:--,37.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-11,--:--,37.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-12,--:--,37.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-13,--:--,37.800
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-14,--:--,37.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-15,--:--,36.000
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-16,--:--,36.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-17,--:--,35.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-18,--:--,35.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-19,--:--,35.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-20,--:--,36.100
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-21,--:--,35.500
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-22,--:--,35.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-23,--:--,35.400
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-24,--:--,35.200
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-25,--:--,34.700
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-26,--:--,34.600
WIEPRZ,LUBARTOW,PL,51.49805556,22.64361111,6389.87,140.15,2023-04-27,--:--,34.600
