River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-01,--:--,39.400
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-02,--:--,38.600
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-03,--:--,38.600
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-04,--:--,31.600
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-05,--:--,31.000
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-06,--:--,39.200
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-07,--:--,45.500
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-08,--:--,53.500
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-09,--:--,49.600
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-10,--:--,44.200
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-11,--:--,95.000
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-12,--:--,79.100
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-13,--:--,59.600
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-14,--:--,48.800
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-15,--:--,44.300
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-16,--:--,65.300
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-17,--:--,91.900
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-18,--:--,118.000
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-19,--:--,165.000
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-20,--:--,129.000
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-21,--:--,106.000
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-22,--:--,85.100
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-23,--:--,76.500
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-24,--:--,84.300
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-25,--:--,92.300
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-26,--:--,81.900
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-27,--:--,69.500
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-28,--:--,58.900
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-29,--:--,50.400
WISLOKA,MIELEC 2,PL,50.279,21.43037,3893.0,-999.00,2023-01-30,--:--,44.500
