River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-01,--:--,1460.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-02,--:--,1370.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-03,--:--,1290.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-04,--:--,1200.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-05,--:--,1180.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-06,--:--,1120.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-07,--:--,1090.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-08,--:--,1050.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-09,--:--,1090.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-10,--:--,1070.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-11,--:--,1140.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-12,--:--,1170.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-13,--:--,1170.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-14,--:--,1270.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-15,--:--,1430.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-16,--:--,1440.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-17,--:--,1390.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-18,--:--,1330.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-19,--:--,1300.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-20,--:--,1390.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-21,--:--,1480.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-22,--:--,1620.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-23,--:--,1780.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-24,--:--,1860.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-25,--:--,1860.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-26,--:--,1860.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-27,--:--,1870.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-28,--:--,1840.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-29,--:--,1820.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-30,--:--,1750.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-01-31,--:--,1670.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-01,--:--,1570.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-02,--:--,1540.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-03,--:--,1470.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-04,--:--,1470.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-05,--:--,1470.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-06,--:--,1510.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-07,--:--,1590.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-08,--:--,1650.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-09,--:--,1630.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-10,--:--,1520.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-11,--:--,1450.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-12,--:--,1390.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-13,--:--,1330.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-14,--:--,1340.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-15,--:--,1290.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-16,--:--,1280.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-17,--:--,1310.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-18,--:--,1380.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-19,--:--,1440.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-20,--:--,1480.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-21,--:--,1510.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-22,--:--,1720.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-23,--:--,2080.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-24,--:--,2430.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-25,--:--,2650.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-26,--:--,2570.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-27,--:--,2320.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-02-28,--:--,2130.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-03-01,--:--,2050.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-03-02,--:--,2060.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-03-03,--:--,1920.000
VISTULA,MODLIN,PL,52.43043,20.65965,159623.04,-999.00,2023-03-04,--:--,1770.000
