River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-01,--:--,6.740
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-02,--:--,6.560
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-03,--:--,6.030
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-04,--:--,5.610
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-05,--:--,7.420
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-06,--:--,10.500
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-07,--:--,9.720
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-08,--:--,8.230
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-09,--:--,7.130
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-10,--:--,15.200
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-11,--:--,13.200
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-12,--:--,10.300
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-13,--:--,9.770
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-14,--:--,10.100
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-15,--:--,9.140
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-16,--:--,9.400
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-17,--:--,8.440
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-18,--:--,7.930
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-19,--:--,7.500
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-20,--:--,7.110
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-21,--:--,6.870
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-22,--:--,6.540
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-23,--:--,6.310
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-24,--:--,6.230
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-25,--:--,6.140
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-26,--:--,6.000
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-27,--:--,5.870
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-28,--:--,5.610
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-29,--:--,5.360
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-30,--:--,4.860
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-01-31,--:--,5.450
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-01,--:--,5.410
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-02,--:--,5.410
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-03,--:--,5.110
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-04,--:--,4.540
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-05,--:--,4.380
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-06,--:--,4.320
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-07,--:--,3.500
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-08,--:--,4.520
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-09,--:--,4.190
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-10,--:--,4.120
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-11,--:--,4.580
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-12,--:--,4.970
DUNAJEC,NOWY TARG,PL,49.48444444,20.03111111,434.86,579.27,2023-02-13,--:--,4.930
