River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-01,--:--,84.500
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-02,--:--,85.500
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-03,--:--,86.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-04,--:--,86.600
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-05,--:--,87.600
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-06,--:--,89.700
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-07,--:--,91.300
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-08,--:--,92.400
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-09,--:--,92.900
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-10,--:--,94.500
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-11,--:--,96.100
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-12,--:--,97.800
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-13,--:--,99.400
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-14,--:--,101.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-15,--:--,103.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-16,--:--,104.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-17,--:--,106.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-18,--:--,108.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-19,--:--,110.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-20,--:--,112.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-21,--:--,114.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-22,--:--,117.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-23,--:--,118.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-24,--:--,120.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-25,--:--,122.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-26,--:--,124.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-27,--:--,125.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-28,--:--,126.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-29,--:--,127.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-30,--:--,127.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-01-31,--:--,127.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-01,--:--,129.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-02,--:--,130.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-03,--:--,131.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-04,--:--,133.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-05,--:--,134.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-06,--:--,136.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-07,--:--,136.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-08,--:--,138.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-09,--:--,138.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-10,--:--,139.000
NAREV,PIATNICA-LOMZA,PL,53.19333,22.09332,15346.42,-999.00,2023-02-11,--:--,138.000
