River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-01,--:--,30.300
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-02,--:--,27.700
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-03,--:--,25.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-04,--:--,24.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-05,--:--,23.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-06,--:--,24.200
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-07,--:--,24.700
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-08,--:--,25.400
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-09,--:--,25.600
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-10,--:--,25.600
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-11,--:--,26.200
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-12,--:--,26.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-13,--:--,27.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-14,--:--,26.200
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-15,--:--,25.300
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-16,--:--,25.300
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-17,--:--,25.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-18,--:--,26.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-19,--:--,27.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-20,--:--,29.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-21,--:--,30.100
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-22,--:--,30.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-23,--:--,30.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-24,--:--,30.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-25,--:--,30.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-26,--:--,31.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-27,--:--,31.700
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-28,--:--,30.400
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-29,--:--,28.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-30,--:--,26.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-01-31,--:--,25.100
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-01,--:--,24.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-02,--:--,25.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-03,--:--,30.100
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-04,--:--,35.200
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-05,--:--,38.400
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-06,--:--,39.100
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-07,--:--,35.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-08,--:--,32.400
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-09,--:--,29.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-10,--:--,27.400
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-11,--:--,25.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-12,--:--,26.400
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-13,--:--,27.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-14,--:--,30.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-15,--:--,33.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-16,--:--,36.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-17,--:--,36.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-18,--:--,36.300
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-19,--:--,38.000
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-20,--:--,41.900
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-21,--:--,47.500
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-22,--:--,51.200
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-23,--:--,49.800
NIDA,PINCZOW,PL,50.51407,20.5202,3329.81,-999.00,2023-02-24,--:--,45.900
