River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-01,--:--,1.560
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-02,--:--,1.410
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-03,--:--,1.260
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-04,--:--,1.120
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-05,--:--,1.240
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-06,--:--,1.440
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-07,--:--,1.380
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-08,--:--,1.280
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-09,--:--,1.250
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-10,--:--,2.270
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-11,--:--,2.370
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-12,--:--,2.070
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-13,--:--,1.790
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-14,--:--,1.580
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-15,--:--,1.420
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-16,--:--,1.390
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-17,--:--,1.460
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-18,--:--,3.740
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-19,--:--,5.630
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-20,--:--,5.180
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-21,--:--,3.680
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-22,--:--,2.900
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-23,--:--,2.730
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-24,--:--,2.410
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-25,--:--,2.170
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-26,--:--,1.990
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-27,--:--,1.770
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-28,--:--,1.470
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-29,--:--,1.240
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-30,--:--,1.180
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-01-31,--:--,1.160
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-01,--:--,1.130
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-02,--:--,1.080
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-03,--:--,1.010
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-04,--:--,0.980
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-05,--:--,0.950
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-06,--:--,0.940
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-07,--:--,0.920
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-08,--:--,0.880
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-09,--:--,0.830
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-10,--:--,0.800
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-11,--:--,0.750
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-12,--:--,0.740
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-13,--:--,0.680
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-14,--:--,0.680
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-15,--:--,0.680
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-16,--:--,0.680
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-17,--:--,0.700
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-18,--:--,3.700
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-19,--:--,14.000
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-20,--:--,8.670
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-21,--:--,12.500
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-22,--:--,10.700
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-23,--:--,5.750
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-24,--:--,4.470
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-25,--:--,6.900
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-26,--:--,5.340
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-27,--:--,3.790
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-02-28,--:--,3.040
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-01,--:--,2.570
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-02,--:--,2.250
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-03,--:--,2.000
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-04,--:--,1.810
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-05,--:--,1.670
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-06,--:--,1.530
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-07,--:--,1.430
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-08,--:--,1.350
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-09,--:--,1.590
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-10,--:--,1.990
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-11,--:--,6.880
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-12,--:--,4.450
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-13,--:--,3.250
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-14,--:--,2.860
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-15,--:--,3.500
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-16,--:--,3.290
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-17,--:--,2.840
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-18,--:--,2.490
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-19,--:--,2.280
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-20,--:--,2.060
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-21,--:--,2.040
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-22,--:--,1.980
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-23,--:--,1.750
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-24,--:--,1.610
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-25,--:--,3.340
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-26,--:--,4.440
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-27,--:--,6.190
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-28,--:--,6.900
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-29,--:--,4.420
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-30,--:--,3.810
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-03-31,--:--,4.610
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-01,--:--,6.150
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-02,--:--,4.730
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-03,--:--,3.730
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-04,--:--,3.140
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-05,--:--,2.740
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-06,--:--,2.540
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-07,--:--,2.350
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-08,--:--,2.520
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-09,--:--,2.790
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-10,--:--,4.090
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-11,--:--,4.780
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-12,--:--,3.780
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-13,--:--,3.140
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-14,--:--,2.730
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-15,--:--,2.510
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-16,--:--,2.140
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-17,--:--,1.970
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-18,--:--,1.760
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-19,--:--,1.650
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-20,--:--,1.510
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-21,--:--,1.410
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-22,--:--,1.270
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-23,--:--,1.170
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-24,--:--,1.130
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-25,--:--,1.410
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-26,--:--,1.780
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-27,--:--,1.330
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-28,--:--,1.170
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-29,--:--,1.130
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-04-30,--:--,1.160
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-01,--:--,1.070
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-02,--:--,0.990
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-03,--:--,0.900
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-04,--:--,0.880
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-05,--:--,0.840
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-06,--:--,0.750
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-07,--:--,0.750
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-08,--:--,0.750
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-09,--:--,0.630
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-10,--:--,0.630
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-11,--:--,0.530
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-12,--:--,0.500
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-13,--:--,0.500
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-14,--:--,0.500
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-15,--:--,0.470
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-16,--:--,0.490
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-17,--:--,0.460
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-18,--:--,0.800
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-19,--:--,0.590
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-20,--:--,0.490
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-21,--:--,0.440
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-22,--:--,0.400
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-23,--:--,0.380
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-24,--:--,0.410
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-25,--:--,0.420
CZARNY,POLANA,PL,49.3025,22.57416667,94.14,437.227,2023-05-26,--:--,0.380
