River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-01,--:--,32.600
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-02,--:--,29.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-03,--:--,26.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-04,--:--,23.800
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-05,--:--,22.300
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-06,--:--,21.800
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-07,--:--,22.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-08,--:--,23.500
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-09,--:--,24.500
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-10,--:--,24.500
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-11,--:--,23.800
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-12,--:--,23.000
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-13,--:--,22.600
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-14,--:--,22.400
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-15,--:--,22.000
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-16,--:--,21.500
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-17,--:--,21.200
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-18,--:--,21.000
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-19,--:--,21.200
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-20,--:--,21.400
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-21,--:--,21.900
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-22,--:--,21.800
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-23,--:--,21.900
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-24,--:--,22.300
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-25,--:--,23.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-26,--:--,24.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-27,--:--,24.800
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-28,--:--,24.900
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-29,--:--,24.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-30,--:--,22.900
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-01-31,--:--,21.600
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-01,--:--,21.300
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-02,--:--,22.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-03,--:--,25.000
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-04,--:--,27.600
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-05,--:--,30.000
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-06,--:--,31.900
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-07,--:--,32.100
PILICA,PRZEDBORZ,PL,51.08944444,19.87527778,2550.19,187.222,2023-02-08,--:--,31.300
