River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-01,--:--,83.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-02,--:--,81.700
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-03,--:--,79.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-04,--:--,76.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-05,--:--,70.900
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-06,--:--,80.100
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-07,--:--,91.500
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-08,--:--,90.400
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-09,--:--,85.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-10,--:--,84.100
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-11,--:--,91.900
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-12,--:--,84.800
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-13,--:--,72.300
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-14,--:--,64.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-15,--:--,60.500
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-16,--:--,61.600
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-17,--:--,67.300
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-18,--:--,84.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-19,--:--,159.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-20,--:--,178.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-21,--:--,259.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-22,--:--,249.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-23,--:--,175.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-24,--:--,124.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-25,--:--,112.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-26,--:--,107.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-27,--:--,101.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-28,--:--,95.700
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-29,--:--,90.900
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-30,--:--,86.900
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-01-31,--:--,84.300
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-01,--:--,84.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-02,--:--,85.300
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-03,--:--,89.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-04,--:--,89.300
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-05,--:--,84.800
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-06,--:--,81.400
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-07,--:--,78.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-08,--:--,77.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-09,--:--,57.100
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-10,--:--,44.300
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-11,--:--,50.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-12,--:--,51.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-13,--:--,50.100
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-14,--:--,51.600
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-15,--:--,58.800
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-16,--:--,64.700
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-17,--:--,69.200
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-18,--:--,106.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-19,--:--,286.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-20,--:--,320.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-21,--:--,178.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-22,--:--,200.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-23,--:--,155.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-24,--:--,133.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-25,--:--,138.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-26,--:--,180.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-27,--:--,138.000
SAN,PRZEMYSL,PL,49.78481,22.76735,3685.86,-999.00,2023-02-28,--:--,114.000
