River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-01,--:--,9.680
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-02,--:--,9.550
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-03,--:--,9.460
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-04,--:--,9.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-05,--:--,9.540
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-06,--:--,9.870
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-07,--:--,9.870
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-08,--:--,9.750
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-09,--:--,9.720
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-10,--:--,9.870
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-11,--:--,9.940
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-12,--:--,9.850
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-13,--:--,9.790
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-14,--:--,9.920
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-15,--:--,10.000
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-16,--:--,10.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-17,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-18,--:--,10.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-19,--:--,10.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-20,--:--,10.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-21,--:--,10.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-22,--:--,10.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-23,--:--,10.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-24,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-25,--:--,10.200
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-26,--:--,10.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-27,--:--,9.930
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-28,--:--,9.840
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-29,--:--,9.730
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-30,--:--,9.580
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-01-31,--:--,9.510
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-01,--:--,9.910
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-02,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-03,--:--,10.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-04,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-05,--:--,10.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-06,--:--,9.680
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-07,--:--,9.630
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-08,--:--,9.440
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-09,--:--,9.320
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-10,--:--,9.210
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-11,--:--,9.110
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-12,--:--,9.170
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-13,--:--,9.240
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-14,--:--,9.270
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-15,--:--,9.290
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-16,--:--,9.280
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-17,--:--,9.460
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-18,--:--,10.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-19,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-20,--:--,10.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-21,--:--,11.000
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-22,--:--,11.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-23,--:--,11.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-24,--:--,11.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-25,--:--,11.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-26,--:--,11.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-27,--:--,11.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-02-28,--:--,11.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-01,--:--,11.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-02,--:--,11.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-03,--:--,11.200
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-04,--:--,11.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-05,--:--,10.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-06,--:--,10.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-07,--:--,10.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-08,--:--,10.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-09,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-10,--:--,10.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-11,--:--,10.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-12,--:--,10.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-13,--:--,10.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-14,--:--,11.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-15,--:--,11.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-16,--:--,11.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-17,--:--,11.200
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-18,--:--,11.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-19,--:--,10.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-20,--:--,10.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-21,--:--,10.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-22,--:--,10.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-23,--:--,10.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-24,--:--,10.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-25,--:--,10.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-26,--:--,11.000
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-27,--:--,11.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-28,--:--,11.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-29,--:--,11.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-30,--:--,11.200
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-03-31,--:--,11.400
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-01,--:--,12.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-02,--:--,14.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-03,--:--,15.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-04,--:--,15.000
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-05,--:--,15.200
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-06,--:--,15.600
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-07,--:--,16.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-08,--:--,16.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-09,--:--,17.000
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-10,--:--,17.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-11,--:--,17.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-12,--:--,18.100
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-13,--:--,18.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-14,--:--,18.500
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-15,--:--,18.800
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-16,--:--,19.300
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-17,--:--,19.700
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-18,--:--,19.900
PISA,PTAKI,PL,53.39305556,21.7925,3575.72,104.765,2023-04-19,--:--,19.900
