River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-01,--:--,5.980
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-02,--:--,5.450
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-03,--:--,4.950
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-04,--:--,4.700
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-05,--:--,4.070
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-06,--:--,3.880
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-07,--:--,3.780
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-08,--:--,3.780
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-09,--:--,3.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-10,--:--,3.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-11,--:--,3.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-12,--:--,3.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-13,--:--,3.600
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-14,--:--,3.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-15,--:--,3.400
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-16,--:--,3.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-17,--:--,3.600
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-18,--:--,4.260
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-19,--:--,4.700
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-20,--:--,5.700
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-21,--:--,6.540
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-22,--:--,7.100
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-23,--:--,7.380
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-24,--:--,7.380
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-25,--:--,7.940
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-26,--:--,7.940
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-27,--:--,7.520
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-28,--:--,6.960
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-29,--:--,6.260
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-30,--:--,5.980
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-01-31,--:--,5.450
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-01,--:--,4.950
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-02,--:--,4.700
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-03,--:--,4.450
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-04,--:--,4.450
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-05,--:--,4.360
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-06,--:--,4.070
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-07,--:--,3.600
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-08,--:--,3.400
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-09,--:--,3.360
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-10,--:--,3.160
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-11,--:--,3.020
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-12,--:--,3.020
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-13,--:--,2.950
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-14,--:--,2.880
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-15,--:--,2.840
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-16,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-17,--:--,2.740
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-18,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-19,--:--,2.780
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-20,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-21,--:--,2.780
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-22,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-23,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-24,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-25,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-26,--:--,2.840
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-27,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-02-28,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-01,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-02,--:--,2.810
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-03,--:--,2.780
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-04,--:--,2.670
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-05,--:--,2.640
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-06,--:--,2.600
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-07,--:--,2.500
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-08,--:--,2.420
SWINKA,PUCHACZOW,PL,51.30555556,22.975,199.05,160.875,2023-03-09,--:--,2.390
