River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-01,--:--,9.880
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-02,--:--,9.430
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-03,--:--,8.910
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-04,--:--,8.380
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-05,--:--,8.350
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-06,--:--,8.590
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-07,--:--,8.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-08,--:--,8.710
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-09,--:--,8.520
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-10,--:--,8.630
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-11,--:--,8.920
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-12,--:--,8.430
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-13,--:--,8.810
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-14,--:--,8.580
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-15,--:--,8.440
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-16,--:--,9.030
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-17,--:--,8.900
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-18,--:--,9.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-19,--:--,9.790
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-20,--:--,10.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-21,--:--,11.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-22,--:--,11.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-23,--:--,13.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-24,--:--,15.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-25,--:--,16.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-26,--:--,17.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-27,--:--,16.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-28,--:--,15.300
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-29,--:--,14.100
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-30,--:--,13.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-01-31,--:--,12.800
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-01,--:--,12.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-02,--:--,12.800
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-03,--:--,14.300
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-04,--:--,13.900
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-05,--:--,13.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-06,--:--,13.100
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-07,--:--,12.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-08,--:--,11.800
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-09,--:--,11.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-10,--:--,10.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-11,--:--,10.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-12,--:--,11.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-13,--:--,12.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-14,--:--,13.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-15,--:--,13.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-16,--:--,12.500
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-17,--:--,12.100
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-18,--:--,13.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-19,--:--,14.500
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-20,--:--,15.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-21,--:--,16.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-22,--:--,16.800
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-23,--:--,16.600
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-24,--:--,16.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-25,--:--,16.100
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-26,--:--,16.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-27,--:--,15.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-02-28,--:--,14.300
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-01,--:--,13.900
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-02,--:--,13.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-03,--:--,12.200
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-04,--:--,11.600
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-05,--:--,10.900
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-06,--:--,10.600
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-07,--:--,10.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-08,--:--,11.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-09,--:--,11.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-10,--:--,14.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-11,--:--,17.600
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-12,--:--,20.500
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-13,--:--,21.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-14,--:--,20.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-15,--:--,21.000
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-16,--:--,19.800
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-17,--:--,17.500
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-18,--:--,15.700
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-19,--:--,14.400
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-20,--:--,13.300
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-21,--:--,13.100
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-22,--:--,12.600
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-23,--:--,11.600
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-24,--:--,10.500
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-25,--:--,10.100
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-26,--:--,9.710
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-27,--:--,9.710
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-28,--:--,9.420
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-29,--:--,8.740
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-30,--:--,8.780
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-03-31,--:--,8.990
RADOMKA,ROGOZEK,PL,51.63544,21.35872,2064.45,-999.00,2023-04-01,--:--,9.370
