River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-01,--:--,14.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-02,--:--,17.100
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-03,--:--,20.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-04,--:--,20.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-05,--:--,20.200
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-06,--:--,26.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-07,--:--,28.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-08,--:--,25.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-09,--:--,22.800
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-10,--:--,32.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-11,--:--,47.100
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-12,--:--,36.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-13,--:--,29.200
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-14,--:--,25.100
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-15,--:--,22.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-16,--:--,23.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-17,--:--,22.800
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-18,--:--,32.100
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-19,--:--,44.100
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-20,--:--,35.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-21,--:--,29.800
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-22,--:--,25.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-23,--:--,22.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-24,--:--,20.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-25,--:--,20.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-26,--:--,18.900
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-27,--:--,17.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-28,--:--,16.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-29,--:--,15.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-30,--:--,13.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-01-31,--:--,14.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-01,--:--,14.900
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-02,--:--,14.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-03,--:--,14.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-04,--:--,14.100
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-05,--:--,12.600
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-06,--:--,10.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-07,--:--,10.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-08,--:--,11.400
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-09,--:--,10.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-10,--:--,9.690
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-11,--:--,10.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-12,--:--,12.300
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-13,--:--,12.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-14,--:--,13.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-15,--:--,14.500
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-16,--:--,14.900
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-17,--:--,15.700
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-18,--:--,32.200
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-19,--:--,138.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-20,--:--,140.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-21,--:--,101.000
POPRAD,STARY SACZ,PL,49.56856,20.6596,2072.99,-999.00,2023-02-22,--:--,120.000
