River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-01,--:--,28.400
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-02,--:--,28.000
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-03,--:--,27.300
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-04,--:--,26.200
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-05,--:--,26.000
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-06,--:--,25.200
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-07,--:--,24.900
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-08,--:--,24.400
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-09,--:--,24.400
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-10,--:--,24.400
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-11,--:--,24.900
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-12,--:--,24.900
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-13,--:--,25.200
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-14,--:--,25.400
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-15,--:--,25.700
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-16,--:--,26.000
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-17,--:--,26.500
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-18,--:--,26.700
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-19,--:--,28.400
NAREV,SURAZ,PL,52.94888889,22.955,3425.34,115.935,2023-01-20,--:--,30.100
