River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-01,--:--,4.280
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-02,--:--,5.170
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-03,--:--,4.660
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-04,--:--,3.890
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-05,--:--,5.060
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-06,--:--,5.540
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-07,--:--,6.220
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-08,--:--,5.800
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-09,--:--,4.270
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-10,--:--,8.120
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-11,--:--,8.660
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-12,--:--,6.590
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-13,--:--,5.400
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-14,--:--,4.970
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-15,--:--,4.790
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-16,--:--,4.630
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-17,--:--,4.150
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-18,--:--,3.860
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-19,--:--,3.350
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-20,--:--,2.610
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-21,--:--,1.900
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-22,--:--,1.750
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-23,--:--,1.660
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-24,--:--,1.610
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-25,--:--,1.480
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-26,--:--,1.430
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-27,--:--,1.300
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-28,--:--,1.200
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-29,--:--,1.120
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-30,--:--,1.130
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-01-31,--:--,1.250
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-01,--:--,1.230
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-02,--:--,1.250
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-03,--:--,1.250
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-04,--:--,1.850
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-05,--:--,1.330
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-06,--:--,1.070
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-07,--:--,1.000
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-08,--:--,1.030
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-09,--:--,0.960
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-10,--:--,0.980
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-11,--:--,1.060
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-12,--:--,1.590
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-13,--:--,1.640
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-14,--:--,2.120
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-15,--:--,2.100
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-16,--:--,2.170
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-17,--:--,3.190
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-18,--:--,11.500
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-19,--:--,27.200
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-20,--:--,19.900
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-21,--:--,13.200
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-22,--:--,13.100
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-23,--:--,10.300
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-24,--:--,9.660
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-25,--:--,13.500
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-26,--:--,9.280
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-27,--:--,6.400
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-02-28,--:--,4.910
VISTULA,USTRON OBLAZIEC,PL,49.68055556,18.85027778,107.39,398.695,2023-03-01,--:--,3.500
