River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-01,--:--,6.270
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-02,--:--,6.350
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-03,--:--,6.390
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-04,--:--,6.370
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-05,--:--,6.430
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-06,--:--,6.420
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-07,--:--,6.410
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-08,--:--,6.390
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-09,--:--,6.290
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-10,--:--,8.010
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-11,--:--,7.770
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-12,--:--,7.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-13,--:--,7.380
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-14,--:--,7.190
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-15,--:--,7.120
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-16,--:--,9.880
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-17,--:--,11.400
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-18,--:--,11.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-19,--:--,12.900
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-20,--:--,13.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-21,--:--,13.000
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-22,--:--,13.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-23,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-24,--:--,13.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-25,--:--,13.900
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-26,--:--,13.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-27,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-28,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-29,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-30,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-01-31,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-01,--:--,13.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-02,--:--,14.300
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-03,--:--,14.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-04,--:--,15.400
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-05,--:--,14.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-06,--:--,14.400
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-07,--:--,14.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-08,--:--,14.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-09,--:--,14.100
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-10,--:--,13.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-11,--:--,13.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-12,--:--,13.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-13,--:--,13.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-14,--:--,14.100
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-15,--:--,14.100
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-16,--:--,14.000
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-17,--:--,14.000
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-18,--:--,21.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-19,--:--,69.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-20,--:--,100.000
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-21,--:--,82.000
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-22,--:--,52.300
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-23,--:--,41.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-24,--:--,29.100
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-25,--:--,23.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-26,--:--,23.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-27,--:--,23.300
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-02-28,--:--,20.900
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-01,--:--,16.100
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-02,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-03,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-04,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-05,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-06,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-07,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-08,--:--,13.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-09,--:--,13.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-10,--:--,13.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-11,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-12,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-13,--:--,13.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-14,--:--,13.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-15,--:--,13.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-16,--:--,14.400
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-17,--:--,15.300
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-18,--:--,18.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-19,--:--,14.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-20,--:--,13.600
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-21,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-22,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-23,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-24,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-25,--:--,13.500
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-26,--:--,13.400
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-27,--:--,13.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-28,--:--,16.900
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-29,--:--,18.100
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-30,--:--,18.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-03-31,--:--,18.200
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-01,--:--,18.300
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-02,--:--,17.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-03,--:--,20.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-04,--:--,21.000
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-05,--:--,20.800
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-06,--:--,20.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-07,--:--,21.700
SKAWA,WADOWICE,PL,49.87722222,19.51111111,833.4,254.03,2023-04-08,--:--,19.900
