River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-01,--:--,981.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-02,--:--,908.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-03,--:--,834.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-04,--:--,760.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-05,--:--,709.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-06,--:--,677.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-07,--:--,657.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-08,--:--,630.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-09,--:--,626.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-10,--:--,676.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-11,--:--,722.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-12,--:--,712.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-13,--:--,715.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-14,--:--,869.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-15,--:--,987.000
VISTULA,WARSZAWA-NADWILANOWKA,PL,52.18632,21.10813,84539.86,-999.00,2023-01-16,--:--,898.000
