River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-01,--:--,1540.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-02,--:--,1610.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-03,--:--,1510.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-04,--:--,1300.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-05,--:--,1360.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-06,--:--,1360.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-07,--:--,1230.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-08,--:--,1200.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-09,--:--,1140.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-10,--:--,1260.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-11,--:--,1270.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-12,--:--,1280.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-13,--:--,1280.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-14,--:--,1280.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-15,--:--,1390.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-16,--:--,1720.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-17,--:--,1680.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-18,--:--,1340.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-19,--:--,1340.000
VISTULA,WLOCLAWEK,PL,52.66317,19.0693,171644.52,-999.00,2023-01-20,--:--,1640.000
