River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-01,--:--,114.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-02,--:--,118.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-03,--:--,120.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-04,--:--,121.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-05,--:--,122.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-06,--:--,123.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-07,--:--,124.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-08,--:--,124.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-09,--:--,125.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-10,--:--,125.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-11,--:--,126.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-12,--:--,126.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-13,--:--,127.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-14,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-15,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-16,--:--,129.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-17,--:--,129.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-18,--:--,131.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-19,--:--,133.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-20,--:--,134.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-21,--:--,137.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-22,--:--,140.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-23,--:--,141.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-24,--:--,142.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-25,--:--,143.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-26,--:--,143.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-27,--:--,143.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-28,--:--,143.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-29,--:--,142.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-30,--:--,141.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-01-31,--:--,139.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-01,--:--,138.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-02,--:--,137.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-03,--:--,137.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-04,--:--,136.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-05,--:--,135.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-06,--:--,134.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-07,--:--,133.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-08,--:--,132.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-09,--:--,130.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-10,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-11,--:--,126.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-12,--:--,124.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-13,--:--,123.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-14,--:--,121.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-15,--:--,119.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-16,--:--,117.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-17,--:--,115.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-18,--:--,113.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-19,--:--,111.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-20,--:--,109.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-21,--:--,108.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-22,--:--,107.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-23,--:--,106.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-24,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-25,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-26,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-27,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-02-28,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-01,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-02,--:--,104.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-03,--:--,104.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-04,--:--,104.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-05,--:--,103.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-06,--:--,102.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-07,--:--,101.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-08,--:--,102.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-09,--:--,102.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-10,--:--,103.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-11,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-12,--:--,109.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-13,--:--,111.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-14,--:--,115.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-15,--:--,117.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-16,--:--,117.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-17,--:--,117.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-18,--:--,117.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-19,--:--,116.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-20,--:--,115.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-21,--:--,113.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-22,--:--,112.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-23,--:--,111.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-24,--:--,110.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-25,--:--,108.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-26,--:--,107.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-27,--:--,106.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-28,--:--,106.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-29,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-30,--:--,105.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-03-31,--:--,106.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-01,--:--,106.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-02,--:--,107.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-03,--:--,109.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-04,--:--,110.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-05,--:--,110.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-06,--:--,111.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-07,--:--,112.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-08,--:--,114.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-09,--:--,116.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-10,--:--,117.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-11,--:--,118.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-12,--:--,119.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-13,--:--,120.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-14,--:--,120.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-15,--:--,122.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-16,--:--,124.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-17,--:--,125.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-18,--:--,126.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-19,--:--,127.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-20,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-21,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-22,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-23,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-24,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-25,--:--,127.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-26,--:--,128.000
BUG,WLODAWA,PL,51.55145,23.56628,14308.5,-999.00,2023-04-27,--:--,128.000
