River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-01,--:--,59.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-02,--:--,62.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-03,--:--,69.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-04,--:--,80.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-05,--:--,51.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-06,--:--,71.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-07,--:--,107.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-08,--:--,102.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-09,--:--,104.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-10,--:--,114.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-11,--:--,176.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-12,--:--,157.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-13,--:--,150.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-14,--:--,139.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-15,--:--,106.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-16,--:--,134.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-17,--:--,106.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-18,--:--,146.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-19,--:--,155.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-20,--:--,153.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-21,--:--,143.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-22,--:--,119.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-23,--:--,113.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-24,--:--,119.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-25,--:--,114.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-26,--:--,104.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-27,--:--,90.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-28,--:--,86.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-29,--:--,65.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-30,--:--,69.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-01-31,--:--,69.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-01,--:--,62.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-02,--:--,65.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-03,--:--,77.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-04,--:--,75.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-05,--:--,79.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-06,--:--,77.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-07,--:--,70.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-08,--:--,63.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-09,--:--,59.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-10,--:--,76.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-11,--:--,67.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-12,--:--,64.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-13,--:--,76.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-14,--:--,83.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-15,--:--,99.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-16,--:--,90.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-17,--:--,121.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-18,--:--,128.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-19,--:--,264.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-20,--:--,509.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-21,--:--,433.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-22,--:--,423.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-23,--:--,333.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-24,--:--,283.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-25,--:--,229.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-26,--:--,229.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-27,--:--,206.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-02-28,--:--,155.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-01,--:--,133.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-02,--:--,117.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-03,--:--,105.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-04,--:--,121.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-05,--:--,113.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-06,--:--,104.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-07,--:--,92.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-08,--:--,93.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-09,--:--,128.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-10,--:--,124.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-11,--:--,122.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-12,--:--,139.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-13,--:--,125.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-14,--:--,122.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-15,--:--,100.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-16,--:--,88.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-17,--:--,116.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-18,--:--,108.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-19,--:--,107.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-20,--:--,99.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-21,--:--,85.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-22,--:--,82.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-23,--:--,88.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-24,--:--,90.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-25,--:--,127.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-26,--:--,108.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-27,--:--,122.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-28,--:--,168.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-29,--:--,151.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-30,--:--,131.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-03-31,--:--,132.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-01,--:--,127.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-02,--:--,139.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-03,--:--,134.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-04,--:--,133.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-05,--:--,132.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-06,--:--,133.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-07,--:--,147.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-08,--:--,159.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-09,--:--,137.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-10,--:--,138.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-11,--:--,143.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-12,--:--,218.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-13,--:--,258.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-14,--:--,243.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-15,--:--,171.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-16,--:--,155.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-17,--:--,140.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-18,--:--,142.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-19,--:--,137.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-20,--:--,137.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-21,--:--,132.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-22,--:--,146.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-23,--:--,130.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-24,--:--,109.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-25,--:--,125.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-26,--:--,123.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-27,--:--,108.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-28,--:--,132.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-29,--:--,116.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-04-30,--:--,127.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-01,--:--,121.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-02,--:--,108.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-03,--:--,87.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-04,--:--,117.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-05,--:--,110.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-06,--:--,101.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-07,--:--,109.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-08,--:--,114.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-09,--:--,103.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-10,--:--,86.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-11,--:--,88.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-12,--:--,102.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-13,--:--,64.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-14,--:--,65.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-15,--:--,81.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-16,--:--,90.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-17,--:--,115.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-18,--:--,330.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-19,--:--,335.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-20,--:--,249.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-21,--:--,208.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-22,--:--,151.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-23,--:--,129.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-24,--:--,114.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-25,--:--,101.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-26,--:--,112.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-27,--:--,111.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-28,--:--,98.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-29,--:--,81.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-30,--:--,104.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-05-31,--:--,100.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-01,--:--,96.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-02,--:--,80.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-03,--:--,71.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-04,--:--,74.100
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-05,--:--,72.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-06,--:--,62.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-07,--:--,57.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-08,--:--,65.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-09,--:--,66.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-10,--:--,79.100
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-11,--:--,113.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-12,--:--,97.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-13,--:--,69.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-14,--:--,81.100
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-15,--:--,82.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-16,--:--,71.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-17,--:--,73.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-18,--:--,61.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-19,--:--,62.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-20,--:--,68.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-21,--:--,58.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-22,--:--,58.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-23,--:--,66.100
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-24,--:--,94.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-25,--:--,178.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-26,--:--,156.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-27,--:--,94.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-28,--:--,91.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-29,--:--,96.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-06-30,--:--,67.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-01,--:--,54.100
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-02,--:--,62.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-03,--:--,56.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-04,--:--,60.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-05,--:--,52.000
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-06,--:--,53.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-07,--:--,42.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-08,--:--,57.900
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-09,--:--,50.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-10,--:--,42.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-11,--:--,51.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-12,--:--,51.600
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-13,--:--,44.800
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-14,--:--,57.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-15,--:--,42.400
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-16,--:--,48.300
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-17,--:--,42.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-18,--:--,55.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-19,--:--,58.200
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-20,--:--,58.700
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-21,--:--,52.500
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-22,--:--,41.100
DUNAJEC,ZABNO,PL,50.13183,20.86198,6734.31,-999.00,2023-07-23,--:--,36.900
