River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-01,--:--,1.450
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-02,--:--,1.310
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-03,--:--,1.180
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-04,--:--,1.120
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-05,--:--,1.700
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-06,--:--,1.630
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-07,--:--,1.460
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-08,--:--,1.280
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-09,--:--,1.220
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-10,--:--,1.570
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-11,--:--,1.370
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-12,--:--,1.320
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-13,--:--,1.280
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-14,--:--,1.260
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-15,--:--,1.230
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-16,--:--,1.220
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-17,--:--,1.200
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-18,--:--,1.140
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-19,--:--,1.010
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-20,--:--,0.970
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-21,--:--,0.980
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-22,--:--,0.940
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-23,--:--,0.900
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-24,--:--,0.920
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-25,--:--,0.920
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-26,--:--,0.870
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-27,--:--,0.860
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-28,--:--,0.860
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-29,--:--,0.820
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-30,--:--,0.840
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-01-31,--:--,0.870
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-01,--:--,0.870
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-02,--:--,0.870
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-03,--:--,0.840
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-04,--:--,0.800
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-05,--:--,0.790
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-06,--:--,0.740
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-07,--:--,0.730
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-08,--:--,0.750
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-09,--:--,0.720
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-10,--:--,0.740
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-11,--:--,0.750
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-12,--:--,0.780
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-13,--:--,0.750
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-14,--:--,0.770
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-15,--:--,0.800
BIALY DUNAJEC,ZAKOPANE  HARENDA,PL,49.31611111,19.9775,58.44,763.09,2023-02-16,--:--,0.820
