River,Station,Country,Latitude_DD,Longitude_DD,Catchment_area_km2,Altitude_m_ASL,Date,Time,Value
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-01,--:--,0.820
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-02,--:--,0.760
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-03,--:--,0.710
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-04,--:--,0.770
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-05,--:--,1.940
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-06,--:--,1.240
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-07,--:--,0.970
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-08,--:--,0.820
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-09,--:--,0.920
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-10,--:--,1.290
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-11,--:--,1.240
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-12,--:--,1.000
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-13,--:--,1.110
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-14,--:--,1.040
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-15,--:--,1.660
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-16,--:--,1.630
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-17,--:--,1.660
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-18,--:--,2.400
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-19,--:--,1.990
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-20,--:--,2.020
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-21,--:--,2.200
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-22,--:--,1.900
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-23,--:--,1.610
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-24,--:--,1.440
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-25,--:--,1.350
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-26,--:--,1.260
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-27,--:--,1.150
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-28,--:--,1.060
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-29,--:--,0.980
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-30,--:--,1.000
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-01-31,--:--,1.050
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-01,--:--,1.370
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-02,--:--,1.430
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-03,--:--,1.290
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-04,--:--,1.150
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-05,--:--,0.980
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-06,--:--,0.910
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-07,--:--,0.890
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-08,--:--,0.840
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-09,--:--,0.760
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-10,--:--,0.740
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-11,--:--,0.800
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-12,--:--,0.790
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-13,--:--,0.760
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-14,--:--,0.760
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-15,--:--,0.720
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-16,--:--,0.570
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-17,--:--,1.280
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-18,--:--,1.310
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-19,--:--,0.810
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-20,--:--,2.060
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-21,--:--,2.040
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-22,--:--,1.240
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-23,--:--,0.980
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-24,--:--,1.310
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-25,--:--,1.340
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-26,--:--,1.130
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-27,--:--,0.930
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-02-28,--:--,0.750
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-01,--:--,0.730
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-02,--:--,0.720
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-03,--:--,0.640
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-04,--:--,0.640
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-05,--:--,0.590
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-06,--:--,0.570
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-07,--:--,0.600
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-08,--:--,0.620
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-09,--:--,0.560
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-10,--:--,1.060
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-11,--:--,1.390
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-12,--:--,0.840
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-13,--:--,0.960
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-14,--:--,0.920
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-15,--:--,0.750
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-16,--:--,0.680
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-17,--:--,0.620
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-18,--:--,0.590
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-19,--:--,0.580
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-20,--:--,0.600
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-21,--:--,0.900
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-22,--:--,0.580
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-23,--:--,0.610
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-24,--:--,1.510
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-25,--:--,1.690
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-26,--:--,1.280
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-27,--:--,1.000
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-28,--:--,0.920
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-29,--:--,0.850
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-30,--:--,0.810
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-03-31,--:--,1.200
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-04-01,--:--,1.710
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-04-02,--:--,1.250
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-04-03,--:--,1.040
BIALA,ZAWADY,PL,53.16027778,23.10666667,107.92,112.08,2023-04-04,--:--,0.990
