Station,Dni,Alarmy_Base_95,Alarmy_Base_99,Prog_95_Base,Prog_99_Base,Alarmy_Ext_95,Alarmy_Ext_99,Prog_95_Ext,Prog_99_Ext,Max_Flow,Proc_Base_95,Proc_Ext_95,Proc_Base_99,Proc_Ext_99,Delta_95
BIALOBRZEGI,305,32,0,84.94089059331463,125.21727521320288,32,0,84.90504089634803,125.19500356146321,118.0,10.49,10.49,0.0,0.0,0.0
BOCHENIEC,305,18,4,4.931563132417405,8.273788968719888,18,4,4.93073060170429,8.262653335423334,10.7,5.9,5.9,1.31,1.31,0.0
BORKOWO,305,44,0,45.9139437546332,85.26371499966962,44,0,46.06799574237593,85.68624465176525,78.4,14.43,14.43,0.0,0.0,0.0
BRODNICA,366,60,0,30.589677114602654,41.55041090193079,60,0,30.595686917277778,41.54730155736543,37.0,16.39,16.39,0.0,0.0,0.0
BRZEGI,366,41,17,26.04253931468877,39.67929029235104,41,17,26.029935542671282,39.6601295259292,72.6,11.2,11.2,4.64,4.64,0.0
BURZYN,305,21,0,98.46921271334278,192.63975640069333,21,0,98.60561331037937,192.88118926527977,117.0,6.89,6.89,0.0,0.0,0.0
CHMELNICA,366,11,2,34.13773247019664,51.81011526189515,11,2,34.07721067827424,51.70260457093587,59.64,3.01,3.01,0.55,0.55,0.0
CISNA,305,17,3,6.675647184497887,14.745807993186432,17,3,6.7121995775875405,14.81295169315562,22.4,5.57,5.57,0.98,0.98,0.0
DALESZYCE,305,26,11,2.775764665760995,4.707914101780856,26,11,2.7820084545990547,4.719164555865499,13.9,8.52,8.52,3.61,3.61,0.0
DOBRYLAS,305,83,0,27.959156252649905,38.57158050210556,83,0,27.917410152889655,38.50559111865542,34.2,27.21,27.21,0.0,0.0,0.0
ELGISZEWO,305,27,0,44.3177672844513,64.56786049843424,27,0,44.184895002718434,64.24562565998676,53.3,8.85,8.85,0.0,0.0,0.0
FRANKOPOL,305,0,0,387.295096450247,674.9573257423037,0,0,387.32130554327944,673.9351141651155,355.0,0.0,0.0,0.0,0.0,0.0
GOLKOWICE,305,9,2,69.61045239428391,91.69743910486994,9,2,69.78521087641276,92.01911260372859,145.0,2.95,2.95,0.66,0.66,0.0
HARASIUKI,305,26,6,32.828576859309834,52.60622479520476,26,6,32.71457802673717,52.40722511001363,56.5,8.52,8.52,1.97,1.97,0.0
JAGODNIKI,305,23,10,283.17741916288094,419.1433378722601,23,10,283.8732213894499,419.96372256046516,620.0,7.54,7.54,3.28,3.28,0.0
JELEN,305,34,18,23.49933418071803,29.795506309900446,34,18,23.484439102988606,29.767470033050046,65.5,11.15,11.15,5.9,5.9,0.0
JORDANOW,305,10,1,3.598132382197134,7.1753111832251415,10,1,3.575224398510522,7.111468156056422,7.49,3.28,3.28,0.33,0.33,0.0
KARSY,305,23,6,475.23515829888015,692.9154517191091,23,6,476.40668726505413,694.8548442655983,936.0,7.54,7.54,1.97,1.97,0.0
KEPA POLSKA,304,16,0,2282.654271297826,3462.092421024834,16,0,2280.976909868721,3457.3431852511635,2940.0,5.26,5.26,0.0,0.0,0.0
KOSMIN,305,0,0,95.59123780310593,137.42355409054943,0,0,95.08286205546997,136.43415689967009,93.3,0.0,0.0,0.0,0.0,0.0
KRASNYSTAW,366,59,0,23.77488458330098,31.71501820756005,59,0,23.769338279834784,31.70660753424005,30.9,16.12,16.12,0.0,0.0,0.0
KRYLOW,305,9,0,101.09597805585176,176.04612877980685,9,0,100.92784083560201,175.64460447700299,115.0,2.95,2.95,0.0,0.0,0.0
KUNOW,305,24,10,13.701262865875083,21.69333364653053,24,10,13.719984114989868,21.747643905825964,29.1,7.87,7.87,3.28,3.28,0.0
LEZACHOW,305,15,0,218.5065802809583,360.9920780443389,15,0,218.99244383941604,361.63461489951817,320.0,4.92,4.92,0.0,0.0,0.0
LOCHOW,366,56,27,17.054327834399995,29.285603632481624,56,26,17.07071190612278,29.329908527922626,45.8,15.3,15.3,7.38,7.1,0.0
LOWICZ,305,0,0,38.41122543691754,79.1804181865172,0,0,38.608017382105125,79.89470822252714,37.3,0.0,0.0,0.0,0.0,0.0
LUBARTOW,366,50,0,46.4309063558504,65.33780064655946,50,0,46.349118592618666,65.18948553843543,58.6,13.66,13.66,0.0,0.0,0.0
MALOWA GORA,366,46,0,23.749652761844644,42.83857422145803,46,0,23.766359109285872,42.84337783291399,36.9,12.57,12.57,0.0,0.0,0.0
MIELEC 2,305,21,2,112.7107683670118,203.58667754675983,21,2,113.0492412220012,204.50995534911357,321.0,6.89,6.89,0.66,0.66,0.0
MODLIN,305,17,0,2172.3328755984994,3313.78703149602,17,0,2172.043158209316,3310.0306557712843,2930.0,5.57,5.57,0.0,0.0,0.0
MYSZYNIEC,305,0,0,4.005189387785689,11.753146493540116,0,0,4.020764267750922,11.806246634273467,3.74,0.0,0.0,0.0,0.0,0.0
NIETULISKO DUZE,305,21,13,4.930858453031415,8.143924875572182,21,13,4.935313703826555,8.146361181951418,8.83,6.89,6.89,4.26,4.26,0.0
NOWY SACZ,366,15,3,112.80508797784567,162.3957401257701,15,3,112.5886243275732,162.02845633741214,273.0,4.1,4.1,0.82,0.82,0.0
NOWY TARG,305,14,4,18.248338781174944,25.990110137053502,14,4,18.22026204597372,25.921321131658956,47.8,4.59,4.59,1.31,1.31,0.0
OJCOW,305,39,4,0.7125490273998278,0.8496782423396871,39,4,0.7118560350273531,0.849082031083488,3.04,12.79,12.79,1.31,1.31,0.0
OSIELEC,305,11,1,9.721441205698095,17.528075147187657,11,1,9.707645286135666,17.49665073329797,20.2,3.61,3.61,0.33,0.33,0.0
OSTROLEKA,366,71,8,170.60588464680353,271.27611938513576,71,8,171.46152000579565,272.93749366092607,284.0,19.4,19.4,2.19,2.19,0.0
PIATNICA-LOMZA,305,23,0,212.7859526474311,400.1842647354396,25,0,211.55865910829365,397.7072925730118,253.0,7.54,8.2,0.0,0.0,0.66
PINCZOW,305,24,4,47.49264671142549,70.67423484588619,24,4,47.554303820231354,70.75969041575564,93.5,7.87,7.87,1.31,1.31,0.0
POLANA,305,15,5,3.762464067902023,6.738767532245958,15,5,3.763235216494431,6.743604585514395,18.3,4.92,4.92,1.64,1.64,0.0
PRZEDBORZ,366,42,11,29.806366445703485,44.65195279781033,42,11,29.814457547926956,44.64156177120492,54.0,11.48,11.48,3.01,3.01,0.0
PRZEMYSL,305,8,2,153.11151092284842,255.7552091312061,8,2,153.24770199961108,256.08701049648494,262.0,2.62,2.62,0.66,0.66,0.0
PTAKI,366,106,42,20.181561819855037,27.70050636430079,106,46,20.173711353457904,27.686013796141694,28.7,28.96,28.96,11.48,12.57,0.0
PUCHACZOW,305,0,0,4.088478051577405,7.966979234621037,0,0,4.086174335191262,7.961319303357019,3.24,0.0,0.0,0.0,0.0,0.0
PULAWY-AZOTY,305,23,3,1148.2355047398123,1712.939582289312,23,3,1147.7980310983075,1713.5643373308844,1880.0,7.54,7.54,0.98,0.98,0.0
RADOMYSL NAD SANEM,366,30,11,276.6263246705004,450.59933389385697,30,11,276.839059276606,451.28398100467643,516.0,8.2,8.2,3.01,3.01,0.0
RAJCZA,305,13,3,16.480738715330762,31.625063485462,13,3,16.527748236481777,31.75407115809601,42.0,4.26,4.26,0.98,0.98,0.0
ROGOZEK,305,19,0,17.329028510183946,28.37654403053271,19,0,17.37548092207505,28.440183077047234,27.0,6.23,6.23,0.0,0.0,0.0
RZUCHOW,305,18,0,296.9654899377638,495.0234426614789,18,0,297.1068916390326,496.00915624140276,481.0,5.9,5.9,0.0,0.0,0.0
SANDOMIERZ,366,33,14,564.443904969157,832.605732125796,33,14,564.8991869462516,834.2046229737848,1260.0,9.02,9.02,3.83,3.83,0.0
STARY SACZ,305,11,2,54.38368308427367,80.45309430153803,11,2,54.39769515999317,80.44514842971209,116.0,3.61,3.61,0.66,0.66,0.0
STREKOWA GORA,305,22,0,94.09764956821678,170.6609651363076,22,0,94.38942248108613,171.32646578557484,119.0,7.21,7.21,0.0,0.0,0.0
SURAZ,366,38,5,30.427381105326923,55.39884130908264,38,5,30.324219526217217,55.19484379980298,70.1,10.38,10.38,1.37,1.37,0.0
SZCZUCIN,366,35,12,434.1677104109104,635.1489984753582,35,12,434.9737514573558,637.2045499250289,965.0,9.56,9.56,3.28,3.28,0.0
TCHORZEW,305,0,0,33.539131450406515,68.3340962674682,0,0,33.65488243688678,68.65149261912079,26.1,0.0,0.0,0.0,0.0,0.0
TCZEW,366,59,11,1766.7870184017934,2565.776735014154,57,11,1770.8815372872339,2573.0840511827596,3100.0,16.12,15.57,3.01,3.01,-0.55
TRYNCZA,366,29,9,59.85017394874691,108.00909571442124,29,9,59.84900146354996,108.05936797024866,147.0,7.92,7.92,2.46,2.46,0.0
TUCHOLA,366,60,27,26.024338362580533,31.383461726211088,60,27,26.007751614237534,31.36550894007062,43.1,16.39,16.39,7.38,7.38,0.0
USTRON OBLAZIEC,305,19,5,6.892398755958297,12.91874501526856,20,5,6.804059689891522,12.661992598106528,67.7,6.23,6.56,1.64,1.64,0.33
WADOWICE,305,26,9,28.83030563396372,42.54966521918713,26,9,29.042771373855103,43.01275633793599,61.6,8.52,8.52,2.95,2.95,0.0
WARSZAWA-NADWILANOWKA,305,23,3,1364.4461843108577,2010.6534123162603,23,3,1368.9887632047255,2020.4118898861484,2090.0,7.54,7.54,0.98,0.98,0.0
WISLA,305,21,8,3.9995099692586367,7.84174362352538,22,8,3.9473928340122906,7.692867920361884,27.4,6.89,7.21,2.62,2.62,0.32
WLOCLAWEK,305,17,0,2268.33575570402,3423.32860029893,17,0,2268.459604931647,3421.5949236456327,2860.0,5.57,5.57,0.0,0.0,0.0
WLODAWA,305,0,0,195.53233178000687,348.70428543379114,0,0,195.4086982671298,348.7011888482591,173.0,0.0,0.0,0.0,0.0,0.0
WYSZKOW,366,54,0,332.42648098578286,552.9356498865848,54,0,332.5179917722174,553.4617843113913,497.0,14.75,14.75,0.0,0.0,0.0
ZABNO,305,12,1,209.1387496528404,313.30488551592885,12,1,208.13501926816878,310.92914881187846,405.0,3.93,3.93,0.33,0.33,0.0
ZAKOPANE  HARENDA,305,12,4,4.046581396908132,5.600711839834669,12,4,4.046018146815306,5.594965528928601,8.65,3.93,3.93,1.31,1.31,0.0
ZAMBSKI KOSCIELNE,305,27,0,300.4226329092042,503.61698449129096,27,0,301.20930426476565,506.25175102221374,357.0,8.85,8.85,0.0,0.0,0.0
ZAWADY,305,27,4,1.7521719178791175,2.9336786494559446,27,4,1.751020630170916,2.933346650893928,3.74,8.85,8.85,1.31,1.31,0.0
